node_id,degree,betweenness,closeness,eigenvector,composite,lat,lon,frequency
0,0.012048192771084338,0.3048829872053198,0.041175078997617395,2.151366891430494e-09,0.47757291023822135,23.020685983346148,113.21385977935468,0
1,0.004819277108433735,0.010425081970393709,0.028788235522463883,1.7571386460267013e-12,0.024312261941710277,22.986704660513382,113.1577947339208,0
2,0.0072289156626506035,0.14514871078516967,0.02467637119081513,0.0003715301706885505,0.2285870141902668,23.04030168416911,112.48019744434087,0
3,0.004819277108433735,0.06837281493122213,0.03967274503419082,7.329013257830552e-10,0.11579331796124459,23.019796556957623,113.18321341983898,0
4,0.00963855421686747,0.10463860502973477,0.02906099402914635,1.7041399126839192e-08,0.16870210425834456,23.079287205890555,113.4423077146346,0
5,0.004819277108433735,0.02221543177541082,0.02991118830901804,1.0068504792526064e-08,0.042595132204248196,23.034871728497645,113.00928688873648,0
6,0.004819277108433735,0.00469860116795685,0.03801069440064893,4.412796809822749e-09,0.018388241915149598,23.046771040387632,113.24672864821132,0
7,0.0072289156626506035,0.021086887231465557,0.023388700765618668,2.2254659071948737e-11,0.03936849021100043,23.03615662554163,113.4033616140258,0
8,0.004819277108433735,0.26659682207089225,0.022465681254671598,6.224669370015702e-06,0.4122525071918144,23.167746378948628,112.33470925458712,0
9,0.0072289156626506035,0.002297111149913664,0.03040236989083637,2.0436392732487213e-06,0.012895940409942805,23.005281259334552,113.07027705236922,0
10,0.004819277108433735,0.0427051199968958,0.0322790888678408,8.671494873590252e-07,0.0744938158781268,22.98424071439064,113.08215184615808,0
11,0.0072289156626506035,0.036773373687988685,0.029145485644179327,4.157269385681458e-10,0.06498289696320134,23.14224938954456,112.89783994533154,0
12,0.004819277108433735,0.05124672603457311,0.030533365912949768,4.013093803940208e-11,0.08696446580028268,23.07374857536644,112.97174684757508,0
13,0.0072289156626506035,0.06067167219603049,0.024418348298135505,3.372856231354739e-14,0.09992187904287328,23.10746795737709,113.6188534994332,0
14,0.004819277108433735,0.004318724172050521,0.039554387311540457,7.917245146907547e-10,0.018277261164069348,23.04430515504381,113.21174851658115,0
15,0.00963855421686747,0.051797722290126635,0.032809901696672535,1.3565025415835685e-05,0.08942200581314848,23.15883145971429,112.82515080885923,0
16,0.012048192771084338,0.28892963156975726,0.024292785540174763,0.0005097194766449346,0.4482217994431466,23.04977478746645,112.41080859629068,0
17,0.004819277108433735,0.0,0.022934525894437636,1.3887362237998717e-11,0.006675554325207535,23.03015737575737,113.39027525021044,0
18,0.00963855421686747,0.1435713869972644,0.015416715624689305,1.3199226948214409e-05,0.22382374584184384,23.1313001203164,111.89132009343764,0
19,0.004819277108433735,0.06967289447645657,0.033692076281188366,3.7270572294603364e-10,0.11596204129878018,23.03226530202874,112.98276233316624,0
20,0.014457831325301207,0.0538094406611955,0.012475251579985941,0.5518305631120239,0.12632687275377794,23.249677783052864,111.57120586325246,0
21,0.004819277108433735,0.04711697029664552,0.03326935717615483,3.0635225489908276e-07,0.08150757994253434,22.979366471355668,113.09677860563774,0
22,0.0072289156626506035,0.03308305686514172,0.01218275598168826,0.24732156128957106,0.0717436736142112,23.47699518548713,111.36248697394949,0
23,0.004819277108433735,0.307153250683895,0.025882219052532546,3.1476825351554254e-05,0.475008662493117,23.088321431603564,112.5333040729656,0
24,0.004819277108433735,0.0,0.023446071794307865,0.0001475767732634736,0.006840799918683992,23.12620511113182,112.40075473289936,0
25,0.012048192771084338,0.3025156434340998,0.040314824772360654,5.093079261215893e-10,0.4737098665745501,22.88577326360025,113.51668610686444,0
26,0.004819277108433735,0.0,0.02906099402914635,1.1326393748351167e-10,0.008529467273899707,23.12726380982696,112.93224380577392,0
27,0.004819277108433735,0.0023300933201404646,0.027669963548823,5.863198439290514e-08,0.011654570838377155,23.00460468766019,113.0462153411606,0
28,0.004819277108433735,0.049471019574040445,0.029667218027588916,1.3006364831665177e-05,0.08400093844700865,23.11616787224354,113.26961691344036,0
29,0.004819277108433735,0.2149118211978348,0.018078277482041646,5.888927752826248e-10,0.3322679732737831,23.074504312988296,112.18153569599824,0
30,0.004819277108433735,0.3643559746231302,0.03533742915950622,2.6145433549156943e-08,0.5649211891903778,23.16380303428881,112.77768464086056,0
31,0.004819277108433735,0.14846807519934815,0.03660903523240553,1.9921696377639623e-06,0.23675873376372952,23.147765305835687,112.81070427308924,0
33,0.0072289156626506035,0.06940014024351375,0.028461300363840234,1.3447650696077677e-08,0.11442866020130328,23.07829446464345,113.43722076311803,0
34,0.004819277108433735,0.330155404225598,0.029560532116960362,5.45180074658509e-09,0.5111251741745418,23.15383465240011,112.58623251704064,0
35,0.0072289156626506035,0.3011698969792212,0.025070735546798638,0.00027440704794927417,0.4661391555970089,23.06277152515536,112.5222861381913,0
36,0.004819277108433735,0.21852045864617892,0.018328189010221485,2.0680220114870575e-10,0.3378353762787025,23.08273893775992,112.19973755496468,0
37,0.00963855421686747,0.16671905011349747,0.01582449615193535,4.407159209632755e-06,0.25917361937165556,23.07479307766316,112.0357972006355,0
38,0.0072289156626506035,0.038053857943852715,0.029374616820627277,2.1180641592712726e-10,0.06700092910356276,23.135796323263445,112.91125626307117,0
39,0.0072289156626506035,0.1110569815493856,0.036661282539846296,1.614116774848993e-08,0.18030518712499502,22.9761011917629,113.10822536917156,0
40,0.00963855421686747,0.11407959881855448,0.030759589773553125,0.00011500309722321113,0.18359195831408653,23.111293064626576,113.22611323880226,0
41,0.004819277108433735,0.015393970637553697,0.023232696769782197,2.6606562664311708e-11,0.03019298251076959,23.037279331216904,113.35376293272354,0
42,0.00963855421686747,0.14907746929747975,0.024677852810220165,0.000438679514474907,0.2350357455289487,23.06424927690474,112.39871210009132,0
43,0.004819277108433735,0.08856893412157947,0.03201757720294592,2.1135549037848175e-07,0.14421213806053487,23.05820088970736,113.27826852228424,0
44,0.004819277108433735,0.051475467085734236,0.02995697074010327,5.873110510419943e-07,0.08713819395364951,23.529108158117687,112.94689936518472,0
45,0.012048192771084338,0.12877461536969134,0.03375849187303629,1.8782326623201336e-05,0.20732071376953434,23.18678007690611,112.80455843751812,0
46,0.004819277108433735,0.26000814853617366,0.021791508326929474,7.140225889697164e-07,0.40202118377072854,23.17166283489486,112.2968426592329,0
47,0.0072289156626506035,0.25539110663957876,0.03424509569690192,3.3714339337478926e-09,0.3992278440397156,23.039224778892944,113.5128721389904,0
48,0.004819277108433735,0.17368022815901285,0.016243514150662643,5.43785673765845e-07,0.2689648065146782,23.081306233511143,112.07418834032111,0
49,0.0072289156626506035,0.015200733922577828,0.023016723892827287,2.0489360127876168e-11,0.030298128787117816,23.0353249071693,113.37426707129774,0
50,0.004819277108433735,0.2730923694779116,0.023172443962012564,5.426510225259997e-05,0.42235498023756807,23.136753708176663,112.36821043532684,0
51,0.004819277108433735,1.1640765962400325e-05,0.038070548217322794,4.4413861942658075e-10,0.011273538049255297,23.044745121572376,113.21525122780068,0
52,0.004819277108433735,0.05601536581107036,0.03083343124937861,1.686492995630029e-06,0.09431250603267508,23.44325520088576,112.88322493378789,0
53,0.004819277108433735,0.20024445608521038,0.017128970141871924,3.978482059385693e-08,0.30965928853295005,23.08612865613669,112.11668608640468,0
