node_id,lat,lon,type,frequency,ship_count
0,23.020685983346148,113.21385977935468,turn_point,4940,510
1,22.986704660513382,113.1577947339208,turn_point,1985,137
2,23.04030168416911,112.48019744434087,waypoint,1681,549
3,23.019796556957623,113.18321341983898,turn_point,1646,135
4,23.079287205890555,113.4423077146346,turn_point,1639,331
5,23.034871728497645,113.00928688873648,turn_point,1489,147
6,23.046771040387632,113.24672864821132,turn_point,1482,137
7,23.03615662554163,113.4033616140258,turn_point,1456,223
8,23.167746378948628,112.33470925458712,turn_point,1422,520
9,23.005281259334552,113.07027705236922,merge_point,1405,258
10,22.98424071439064,113.08215184615808,turn_point,1344,129
11,23.14224938954456,112.89783994533154,turn_point,1336,199
12,23.07374857536644,112.97174684757508,turn_point,1288,234
13,23.10746795737709,113.6188534994332,turn_point,1271,407
14,23.04430515504381,113.21174851658115,turn_point,1252,45
15,23.15883145971429,112.82515080885923,waypoint,1217,268
16,23.04977478746645,112.41080859629068,waypoint,1211,344
17,23.03015737575737,113.39027525021044,turn_point,1205,173
18,23.1313001203164,111.89132009343764,waypoint,1132,597
19,23.03226530202874,112.98276233316624,turn_point,1126,125
20,23.249677783052864,111.57120586325246,turn_point,1124,357
21,22.979366471355668,113.09677860563774,turn_point,1089,100
22,23.47699518548713,111.36248697394949,turn_point,1087,467
23,23.088321431603564,112.5333040729656,turn_point,1081,248
24,23.12620511113182,112.40075473289936,turn_point,1068,332
25,22.88577326360025,113.51668610686444,turn_point,1014,558
26,23.12726380982696,112.93224380577392,waypoint,937,138
27,23.00460468766019,113.0462153411606,turn_point,930,112
28,23.11616787224354,113.26961691344036,turn_point,927,280
29,23.074504312988296,112.18153569599824,waypoint,920,365
30,23.16380303428881,112.77768464086056,turn_point,901,248
31,23.147765305835687,112.81070427308924,turn_point,898,90
33,23.07829446464345,113.43722076311803,turn_point,850,127
34,23.15383465240011,112.58623251704064,waypoint,801,266
35,23.06277152515536,112.5222861381913,waypoint,794,211
36,23.08273893775992,112.19973755496468,waypoint,778,274
37,23.07479307766316,112.0357972006355,turn_point,777,205
38,23.135796323263445,112.91125626307117,turn_point,772,118
39,22.9761011917629,113.10822536917156,turn_point,769,148
40,23.111293064626576,113.22611323880226,turn_point,727,230
41,23.037279331216904,113.35376293272354,turn_point,725,155
42,23.06424927690474,112.39871210009132,waypoint,722,209
43,23.05820088970736,113.27826852228424,turn_point,721,59
44,23.529108158117687,112.94689936518472,turn_point,717,272
45,23.18678007690611,112.80455843751812,turn_point,664,244
46,23.17166283489486,112.2968426592329,waypoint,663,120
47,23.039224778892944,113.5128721389904,turn_point,663,226
48,23.081306233511143,112.07418834032111,waypoint,658,213
49,23.0353249071693,113.37426707129774,turn_point,645,108
50,23.136753708176663,112.36821043532684,waypoint,638,235
51,23.044745121572376,113.21525122780068,turn_point,637,34
52,23.44325520088576,112.88322493378789,turn_point,618,252
53,23.08612865613669,112.11668608640468,turn_point,616,173
54,22.89050625651564,113.56528075504936,turn_point,610,456
55,23.17324619044213,112.69578220189082,waypoint,607,253
56,22.7142428818576,113.69373608222904,turn_point,602,381
57,23.13221587091068,112.27471952665732,turn_point,598,182
58,22.90671161776195,113.40245020390935,turn_point,592,262
59,23.077273601569537,113.5432029039267,turn_point,560,177
60,23.10430838853644,112.55071185436972,waypoint,539,109
61,23.053096932966305,113.30125007151028,turn_point,539,165
62,23.14376397602876,112.57615785353664,turn_point,537,145
63,23.138281479131777,112.28026716170764,waypoint,535,141
64,23.15373892235365,111.72074209668534,turn_point,532,170
65,23.07429514413692,113.47274724639712,turn_point,525,113
66,23.09420957558594,112.95877834454684,turn_point,511,133
67,23.15339417613296,111.70172453606534,waypoint,496,189
68,23.46383543409204,111.2678971961018,turn_point,494,271
69,23.05871024966067,113.41576865246547,turn_point,494,127
70,23.161222308090043,112.85631309491036,turn_point,493,366
71,23.138134627052068,113.22174574936368,turn_point,492,173
72,23.172951586995893,112.65560943709558,waypoint,491,262
73,23.09474601971001,112.39467457297155,turn_point,484,180
74,23.17025089206855,112.64109362009408,turn_point,482,225
75,22.87844375306956,113.29837612066544,waypoint,478,339
76,23.1033062599634,112.95372448112728,turn_point,477,94
77,23.16816755823885,112.6300000857674,waypoint,461,224
78,23.123619014459216,112.25827224987594,waypoint,459,174
79,23.131292084223507,111.96334913617795,waypoint,455,190
