from_node,to_node,sequence,lat,lon
0,14,0,23.029129451728704,113.21100547090232
0,14,1,23.030260030225087,113.21167053003624
0,14,2,23.03021557050311,113.21199157636404
0,14,3,23.029553399248115,113.21235192232172
0,14,4,23.03181932910697,113.21234774615468
0,14,5,23.03232664391444,113.2121792745414
0,14,6,23.032753771731254,113.21226923958842
0,14,7,23.03335451835436,113.21211869818715
0,14,8,23.03353184015427,113.21213774658412
0,14,9,23.03370021726801,113.21160463141209
0,14,10,23.033828081296736,113.21106999786484
0,14,11,23.03313029141096,113.21045797423712
0,14,12,23.032908837880207,113.2102569618085
0,14,13,23.03281247098356,113.21017141196312
0,14,14,23.03261537293588,113.2101606967438
0,14,15,23.032529657297893,113.21041013043352
0,14,16,23.03216271103232,113.20987911408416
0,14,17,23.032297602180208,113.20973424161416
0,14,18,23.032401805306986,113.20940471579456
0,14,19,23.032319406880607,113.20932767432171
0,14,20,23.032481691190817,113.20928896071432
0,14,21,23.032608273851977,113.20926135764915
0,14,22,23.03249175363096,113.20920313876968
0,14,23,23.032349142717365,113.20899602380152
0,14,24,23.032421365837383,113.20889757607104
0,14,25,23.032344862839743,113.2087415744331
0,14,26,23.03222899005954,113.2086950509992
0,14,27,23.03215120274005,113.20876507231029
0,14,28,23.03204262143159,113.20877426026622
0,14,29,23.03199250776878,113.20866153814568
0,14,30,23.032005370997503,113.20855806015815
0,14,31,23.032066414720735,113.2084668269056
0,14,32,23.032223460100067,113.20849859793417
0,14,33,23.032297768972,113.20861115974856
0,14,34,23.032143046188352,113.20862685697342
0,14,35,23.0322172078419,113.2083987572006
0,14,36,23.032149860838555,113.20831214686233
0,14,37,23.03209656007077,113.20817830509772
0,14,38,23.03207262601788,113.20805882496188
0,14,39,23.03199197269822,113.20795736934996
0,14,40,23.032120587692063,113.20791640348467
0,14,41,23.032224568954568,113.20799068833628
0,14,42,23.032304739572147,113.20814881056044
0,14,43,23.03226898126295,113.2082657418062
0,14,44,23.03236520030952,113.2083581235856
0,14,45,23.03246596425032,113.20828273561128
0,14,46,23.032425152949926,113.20815169533002
0,14,47,23.032582751182623,113.20831347216894
0,14,48,23.032597999505715,113.20845518355712
0,14,49,23.03270561776997,113.2084163918676
0,14,50,23.03277416253536,113.20857030754932
0,14,51,23.032686362669832,113.2086196796445
0,14,52,23.032604577024998,113.20868210950896
0,14,53,23.0325016779667,113.20866413561365
0,14,54,23.03250749603929,113.20878350479832
0,14,55,23.032570442843543,113.2089136920316
0,14,56,23.0327554965517,113.20875869126944
0,14,57,23.032913219162968,113.20867015159833
0,14,58,23.03288254573921,113.20879569202134
0,14,59,23.03285044433038,113.2089750380237
0,14,60,23.032847485560733,113.20910988432134
0,14,61,23.032884769630936,113.2093178140174
0,14,62,23.03275960623788,113.20946916790292
0,14,63,23.03266399400121,113.20962969404223
0,14,64,23.032075164711,113.20959605480208
0,14,65,23.03197944625751,113.2092860091981
0,14,66,23.03199955140591,113.20912429047152
0,14,67,23.031901326046444,113.20907123935233
0,14,68,23.03170057864533,113.20901942936476
0,14,69,23.031676247425693,113.20887814143728
0,14,70,23.031568704254745,113.20883173896792
0,14,71,23.03156966755704,113.2087120761082
0,14,72,23.03160536207292,113.20852423188012
0,14,73,23.03167159083916,113.20841024684216
0,14,74,23.03174712903858,113.20833451335191
0,14,75,23.031822836313022,113.2084014723024
0,14,76,23.03172170291503,113.208284086348
0,14,77,23.031843994918063,113.20819972730236
0,14,78,23.03189839733241,113.2081047445109
0,14,79,23.031781848214607,113.20809695726516
0,14,80,23.03172160843133,113.20794937900128
0,14,81,23.03189435286085,113.2079307530918
0,14,82,23.03198303010048,113.20800138160824
0,14,83,23.031978298840293,113.2082199915785
0,14,84,23.032044208421173,113.20835530453938
0,14,85,23.031772379453344,113.20851706439744
0,14,86,23.031863117844875,113.20870413316446
0,14,87,23.031862056961348,113.20881064381668
0,14,88,23.032042575482347,113.20901709959313
0,14,89,23.032227700547157,113.20905840953776
0,14,90,23.032165945419827,113.20914839543956
0,14,91,23.031761652965866,113.20946454456296
0,14,92,23.031649018009205,113.20955662434656
0,14,93,23.03141991888572,113.20941543817668
0,14,94,23.031362683878363,113.2095376437598
0,14,95,23.03121874407973,113.2096071450726
0,14,96,23.031278427240768,113.20987172583568
0,14,97,23.03147835765984,113.20992883784632
0,14,98,23.03160616212596,113.2100001142954
0,14,99,23.03120479500337,113.21007537057837
0,14,100,23.03085903586709,113.21031167640072
0,14,101,23.030828299721843,113.20968616758395
0,14,102,23.03002546268839,113.20967356144392
0,14,103,23.03143419054125,113.21059551915786
0,14,104,23.03160474003328,113.21085046249532
0,14,105,23.03191156189564,113.21085672189182
0,14,106,23.032854787985123,113.2110348530147
0,14,107,23.033073838057305,113.20917763636147
0,14,108,23.033075489143112,113.20899114126968
0,14,109,23.03306977593093,113.2088706701673
0,14,110,23.031637311483948,113.20918558443203
0,14,111,23.03193630569327,113.20707344991872
0,14,112,23.02944124457868,113.20363274140004
0,14,113,23.03055603821961,113.20254674674366
0,14,114,23.035001887572463,113.21107990260975
0,14,115,23.03495379846944,113.21386643634676
0,14,116,23.03270785454757,113.21341716155273
0,3,0,23.026320623953403,113.20578401269356
0,3,1,23.024857956172177,113.20356899436251
0,3,2,23.020565284212424,113.20054034226833
0,3,3,23.019676277868648,113.2000860690746
0,3,4,23.018960455485672,113.2020898573459
0,3,5,23.01748198111735,113.20255352179788
0,3,6,23.01603107596557,113.20143932214908
0,3,7,23.015823761462915,113.20040446449636
0,3,8,23.015471879583465,113.20035783557826
0,3,9,23.0155138755086,113.19990770876298
0,3,10,23.01546539001909,113.19971167650093
0,3,11,23.01543834634484,113.1996144604033
0,3,12,23.015474815053256,113.19946867066764
0,3,13,23.0155834683047,113.1995365228246
0,3,14,23.01570668076404,113.19944188014202
0,3,15,23.015707672606283,113.1993231013005
0,3,16,23.015759118026,113.1992100519434
0,3,17,23.015831581410318,113.199132313667
0,3,18,23.015847461398188,113.19902815545872
0,3,19,23.01593139695717,113.1989664612585
0,3,20,23.01585305800568,113.19883660570396
0,3,21,23.015756457162183,113.198937254566
0,3,22,23.01566602160379,113.19898231904553
0,3,23,23.01563234100773,113.1991140087501
0,3,24,23.015603497626465,113.19900367576398
0,3,25,23.015610043125506,113.19888092317233
0,3,26,23.015758531233352,113.19880151419852
0,3,27,23.01583623928861,113.1987143331629
0,3,28,23.015979501929426,113.19871151033452
0,3,29,23.016009402362435,113.1986063864438
0,3,30,23.016095833613143,113.19854555142436
0,3,31,23.016059800324403,113.19843720400888
0,3,32,23.01596829132618,113.1983830943516
0,3,33,23.015916124168637,113.19848060751384
0,3,34,23.015914395232368,113.19862647687408
0,3,35,23.01579775251293,113.19859742171262
0,3,36,23.0158087062059,113.19849263769513
0,3,37,23.01582195903068,113.19838199611368
0,3,38,23.015718802897425,113.19837439195804
0,3,39,23.015733800000596,113.1984960143438
0,3,40,23.0156420929988,113.198336728529
0,3,41,23.015756922518168,113.19820920893476
0,3,42,23.01583605270517,113.19814690767666
0,3,43,23.015704641067323,113.19809271332176
0,3,44,23.015767872309464,113.19800983726007
0,3,45,23.01588514177239,113.19802002100836
0,3,46,23.015943161971496,113.19812638304714
0,3,47,23.015998697930183,113.19826688715746
0,3,48,23.01589175436372,113.1982577578934
0,3,49,23.016088699892027,113.1982910205814
0,3,50,23.016049489206303,113.19867006229804
0,3,51,23.016068157140072,113.1988173258908
0,3,52,23.015708560464727,113.19867904596126
0,3,53,23.015593426796364,113.19876824817612
0,3,54,23.01540282226094,113.19868602848766
0,3,55,23.01546526328395,113.19882155212454
0,3,56,23.01541859799921,113.19892965717328
0,3,57,23.01513872236745,113.19892266866876
0,3,58,23.015329385010048,113.19855061942776
0,3,59,23.015518818084203,113.19843826534986
0,3,60,23.015401239184985,113.198234913594
0,3,61,23.01548622285208,113.19814776419766
0,3,62,23.01561675989755,113.19802706431916
0,3,63,23.01568907237409,113.19793972668484
0,3,64,23.01578508426045,113.19789192692996
0,3,65,23.01596735053409,113.19784826259117
0,3,66,23.01602560310888,113.19749615072706
0,3,67,23.01626139800451,113.19735049179928
0,3,68,23.016436781352404,113.19700173244225
0,3,69,23.015804197609526,113.197195354901
0,3,70,23.015722109224427,113.19730146927668
0,3,71,23.015594136072053,113.19741880828975
0,3,72,23.015607633417904,113.19764476290584
0,3,73,23.015504452378234,113.19771563603908
0,3,74,23.015600838257853,113.1978199017182
0,3,75,23.015494791696145,113.19796614093124
0,3,76,23.015198785248018,113.19777578585077
0,3,77,23.01568128785894,113.19671169601138
0,3,78,23.016023633888736,113.1962288222133
0,3,79,23.018507689524707,113.1960850976283
0,3,80,23.01955753971104,113.19780142678331
0,3,81,23.02303891642672,113.19779586640684
0,3,82,23.02601472016348,113.1967257867094
0,3,83,23.025178985555414,113.19490232971884
0,3,84,23.02295555801672,113.19274566614791
0,3,85,23.023682708937915,113.19176058306827
0,3,86,23.02211231206446,113.19109545171624
0,3,87,23.019611669720028,113.19397933197742
0,3,88,23.01888725587723,113.1887094139984
0,3,89,23.02451845972932,113.18437785574773
0,3,90,23.01403265800809,113.19466799032506
0,3,91,23.015513168985045,113.19920975963586
0,3,92,23.0154944777409,113.199350201005
0,3,93,23.015260076726744,113.1993829846629
0,3,94,23.01531622043322,113.19972001986424
0,3,95,23.01580472325597,113.19953128924904
0,3,96,23.015901484731955,113.19925472097404
0,3,97,23.015775046607985,113.1991193320231
0,3,98,23.01472222529617,113.19992592464304
0,3,99,23.014760014728093,113.20070902390528
0,3,100,23.031931945956337,113.20578798972224
0,75,0,22.95263169674998,113.26280311890014
0,75,1,22.950075492183323,113.26483508449115
0,75,2,22.94779895549452,113.2666628460606
0,75,3,22.946390396685175,113.26761233484144
0,75,4,22.944844111848543,113.26690160405695
0,340,0,23.026638560031493,113.2197694271956
0,340,1,23.02998968704831,113.210267057538
0,340,2,23.025112750596005,113.20574369922218
0,340,3,23.0359900837898,113.22633820532116
1,496,0,22.987181638093688,113.15492126537748
1,496,1,22.987000532695657,113.15482485872072
1,496,2,22.986873750911403,113.15487053453104
1,496,3,22.98680599291032,113.15478012366896
1,496,4,22.986831100937927,113.15465340011096
1,496,5,22.98689868165375,113.1545755845187
1,496,6,22.98695213649301,113.15447244943684
1,496,7,22.9869610665103,113.15434160398247
1,496,8,22.986855968822997,113.15440930005472
1,496,9,22.986894569751414,113.15425353018168
1,496,10,22.9870151934316,113.15430639565096
1,496,11,22.987075426322917,113.154209941301
1,496,12,22.986961924980942,113.1541844773383
1,496,13,22.98701078905887,113.154062911204
1,496,14,22.987091408178834,113.153995727405
1,496,15,22.987189898899217,113.15393877206608
1,496,16,22.98727889491072,113.15399935534836
1,496,17,22.987185453754677,113.15406532332588
1,496,18,22.987102753913263,113.1541313710098
1,496,19,22.9871313164958,113.1539570663858
1,496,20,22.98702587887529,113.15397394212256
1,496,21,22.987233113278837,113.15389010308878
1,496,22,22.987313605466888,113.15382445040524
1,496,23,22.987295733639467,113.15371863953692
1,496,24,22.987393544445546,113.1536302348513
1,496,25,22.98749683647988,113.15366840810329
1,496,26,22.98746134815292,113.15376696576442
1,496,27,22.987364010216933,113.153723938607
1,496,28,22.98746932053147,113.1536963176545
1,496,29,22.987560416421363,113.1537456683794
1,496,30,22.98756111112722,113.15388128883984
1,496,31,22.9874532126052,113.15391874609732
1,496,32,22.98741639704996,113.15403917604245
1,496,33,22.987370081899744,113.15418009161364
1,496,34,22.9872161676676,113.15420083133615
1,496,35,22.98720537463392,113.15431605983584
1,496,36,22.98710297561446,113.15436204316777
1,496,37,22.987082117407347,113.1545631657571
1,496,38,22.986964822917415,113.15468880192496
1,496,39,22.987380070213742,113.15382418540356
1,496,40,22.98749021991365,113.15384699377152
1,496,41,22.987548632316773,113.15364006415795
1,496,42,22.987613497924944,113.15355980443046
1,496,43,22.98753024203745,113.1534741294797
1,496,44,22.987637036481377,113.15340542004708
1,496,45,22.987544136223164,113.1533417724186
1,496,46,22.98749596275192,113.15343092522755
1,496,47,22.987468340272628,113.15354942152632
1,496,48,22.987695312415337,113.1534736390281
1,496,49,22.98775147970251,113.15339013172388
1,496,50,22.98766779701213,113.1532099402434
1,496,51,22.98762121010566,113.15311212324852
1,496,52,22.98761199249932,113.15298712040632
1,496,53,22.98775309220224,113.15294498109418
1,496,54,22.987940540096545,113.15327816645164
1,496,55,22.98790008678955,113.15368473417756
1,496,56,22.987725219549564,113.15394420337782
1,496,57,22.988328296928927,113.154183434749
1,496,58,22.98842367690716,113.15505621646898
1,496,59,22.98868034007513,113.15526417371557
1,496,60,22.9890510932488,113.1550573721232
1,496,61,22.99001804399776,113.15553781174458
1,496,62,22.990766562941293,113.15673513502136
1,496,63,22.988100127085158,113.15277398220228
1,496,64,22.987169804013863,113.15330769083718
