node_id,lat,lon,type,frequency,ship_count,type_distribution,detailed_type
6445,23.09219622719374,113.42360166976997,waypoint,2,1,{'waypoint': 2},merge_point
6446,23.092314960408835,113.4340078621851,waypoint,2,1,{'waypoint': 2},turn_point
6447,23.09250242365967,113.43975971950125,waypoint,2,1,{'waypoint': 2},turn_point
6448,23.092334260155553,113.44371621398832,waypoint,2,1,{'waypoint': 2},merge_point
6449,23.09219242561639,113.4480999224785,waypoint,2,2,{'waypoint': 2},turn_point
6450,23.09230413678621,113.45072901878278,turn_point,2,2,"{'turn_point': 1, 'waypoint': 1}",merge_point
6451,23.092525493695437,111.9817009431346,waypoint,2,2,{'waypoint': 2},waypoint
6452,23.092654027362293,111.98224119069829,waypoint,2,2,{'waypoint': 2},waypoint
6453,23.092655673733987,111.98283619757156,waypoint,2,2,{'waypoint': 2},turn_point
6454,23.092568178059928,112.09331772399396,waypoint,2,2,{'waypoint': 2},waypoint
6455,23.092774856522116,112.09759958200613,waypoint,2,2,{'waypoint': 2},turn_point
6456,23.09260127209053,112.09811835281099,waypoint,2,2,{'waypoint': 2},merge_point
6457,23.092724836443615,112.10271948106374,waypoint,2,2,{'waypoint': 2},waypoint
6458,23.092644383332974,112.39319525312447,waypoint,2,2,{'waypoint': 2},turn_point
6459,23.092871789695522,112.39510047389359,waypoint,2,2,{'waypoint': 2},turn_point
6460,23.092943223818626,112.53570468213412,waypoint,2,2,{'waypoint': 2},waypoint
6461,23.092796152753735,112.53885340985823,waypoint,2,2,{'waypoint': 2},waypoint
6462,23.092981662802725,112.96096959951673,waypoint,2,1,{'waypoint': 2},turn_point
6463,23.0927793900008,113.40978776759826,waypoint,2,2,{'waypoint': 2},turn_point
6464,23.09268410877673,113.43778194261469,waypoint,2,2,{'waypoint': 2},turn_point
6465,23.09266040831374,113.44860727561004,turn_point,2,2,"{'turn_point': 1, 'waypoint': 1}",turn_point
6466,23.092986930287132,113.45094451088534,stop_point,2,1,"{'stop_point': 1, 'turn_point': 1}",turn_point
6467,23.09318725764505,111.98393547918053,waypoint,2,2,{'waypoint': 2},waypoint
6468,23.093255076740064,111.98496581498765,waypoint,2,1,{'waypoint': 2},waypoint
