seed,pna_r2,gat_r2
42,0.6916275596320738,0.8086274984632242
123,0.7920003648198536,0.7709469076271405
456,0.8571464268420441,0.9000364228912192
789,0.9014446127644731,0.8999714880862693
1011,0.8531464887329008,0.7964476458889734
